epoch,loss,act_loss,kl_loss,beta
1,1.2007890126260463,1.1949297295650467,0.005859283088739176,5e-07
2,1.0405943250807468,1.034350976231508,0.006243347378131148,5e-07
3,0.8730159644037485,0.8664472684904467,0.00656869670137894,5e-07
4,0.70161924927379,0.6948535582632758,0.006765691173768573,5e-07
5,0.6380192937649554,0.6311107347428333,0.006908558395480213,5e-07
6,0.5917624578869436,0.5847848724806681,0.006977585489948979,5e-07
7,0.5609382382244803,0.553903484455077,0.007034754162305035,5e-07
8,0.5116876948886784,0.5045904995786259,0.007097195957612712,5e-07
9,0.437630103318952,0.43049571037408896,0.007134392418720381,5e-07
10,0.41154951238422655,0.4045615322975209,0.006987980038047681,5e-07
11,0.39324502456292976,0.38643435676931404,0.006810667807712889,5e-07
12,0.3767858470673673,0.37024161765293684,0.006544229074734176,5e-07
13,0.3524297454277985,0.3461394748737803,0.0062902710537855455,5e-07
14,0.3321077428845456,0.3261008853587555,0.006006856795011117,5e-07
15,0.31233327426889446,0.30655432358616963,0.005778950727744814,5e-07
16,0.29406766209285706,0.2884696780820377,0.0055979840326472186,5e-07
17,0.28014292212901637,0.2747194085823139,0.005423513620371523,5e-07
18,0.27673787440289743,0.27143454521137755,0.005303329075104557,5e-07
19,0.26169784904050175,0.2564595110161463,0.005238338029357692,5e-07
20,0.2592892834218219,0.2541690732323332,0.0051202100198679545,5e-07
21,0.24266320915194228,0.23758183039171854,0.005081378863451391,5e-07
22,0.24357805759063922,0.23858404108614195,0.0049940164672079845,5e-07
23,0.2317560556839453,0.22683510853676125,0.004920946997572173,5e-07
24,0.22941719905065838,0.22454869956709445,0.004868499618169153,5e-07
25,0.2190624795257463,0.2142481799746747,0.004814299809822842,5e-07
26,0.21014874469256029,0.2053766152021126,0.004772129406319436,5e-07
27,0.2219760267616948,0.21723624355217908,0.004739782980777818,5e-07
28,0.20548211647837888,0.20074747822218342,0.004734638326226559,5e-07
29,0.1963374127226416,0.19162249164946843,0.004714921261438576,5e-07
30,0.20620404207875254,0.2015036358279758,0.004700405998391943,5e-07
31,0.19431897868344095,0.18963012348831398,0.004688855738095299,5e-07
32,0.1835678853894933,0.17892452550586313,0.004643359800411417,5e-07
33,0.18896250108082313,0.1843132397334557,0.004649261503800517,5e-07
34,0.17509077866998268,0.1704629703090177,0.004627808094028296,5e-07
35,0.17300075834646123,0.16835999103204813,0.004640767088858411,5e-07
36,0.16999703514011344,0.16537795808835654,0.004619076728431537,5e-07
37,0.1672915540621034,0.1626693750586128,0.004622179154921469,5e-07
38,0.16571718514023814,0.16113529788708547,0.004581887293170439,5e-07
39,0.1558705208808533,0.15125232005811995,0.00461820062400875,5e-07
40,0.15457801114098402,0.1499722480220953,0.004605762993833196,5e-07
41,0.15112789001432247,0.146509294740099,0.004618595634383382,5e-07
42,0.14852257006714353,0.14391400579188485,0.004608564168847806,5e-07
43,0.14548105235007824,0.1408727153611835,0.004608337017998565,5e-07
44,0.14177229699271265,0.13716547519288724,0.004606821861671051,5e-07
45,0.13960888188012177,0.13499918212619377,0.004609699800766975,5e-07
46,0.13591021069441922,0.13129175588983344,0.004618454563114938,5e-07
47,0.13272147838870296,0.1281032791157486,0.004618199149263091,5e-07
48,0.1310144429007778,0.12639094407495577,0.004623498843557172,5e-07
49,0.12868731701746583,0.1240625747377635,0.004624742470241472,5e-07
